pos_col,pos_row,tiene_objeto,tipo_obj,bola_retirada,puerta_abierta,accion,q_valor
2,1,False,,True,True,right,0.261731
8,2,False,,True,True,down,0.260847
2,3,True,llave,True,False,left,0.260440
6,0,True,llave,True,True,up,0.259462
3,1,True,llave,True,True,down,0.250667
2,0,True,llave,False,False,up,0.241027
0,0,False,,True,False,open_door,0.240890
3,3,False,,True,True,open_door,0.240777
8,0,False,,True,True,open_door,0.238897
2,0,False,,False,False,pick,0.234376
2,2,True,llave,False,False,up,0.234191
1,1,True,llave,False,False,up,0.233730
1,1,True,llave,True,False,down,0.229298
1,1,False,,True,True,right,0.226807
0,0,True,llave,False,False,drop,0.226246
2,0,True,llave,False,False,right,0.226012
0,3,True,llave,False,False,drop,0.225995
1,1,False,,True,False,down,0.225171
3,2,False,,True,True,pick,0.223163
2,1,False,,True,False,down,0.219327
2,3,False,,True,False,left,0.218039
1,1,True,bola,True,False,open_door,0.213971
0,3,False,,True,False,pick,0.211570
2,3,True,bola,True,False,open_door,0.211305
0,3,False,,True,False,down,0.210051
1,1,False,,True,False,open_door,0.209053
2,1,True,llave,False,False,down,0.207205
1,3,True,llave,True,False,down,0.206669
0,0,False,,False,False,pick,0.206147
2,2,True,bola,True,False,open_door,0.202641
6,0,True,llave,True,True,right,0.202325
0,1,True,bola,True,False,drop,0.196378
3,3,True,llave,True,True,drop,0.196158
2,2,True,llave,True,True,drop,0.195965
1,2,False,,True,False,pick,0.194228
0,0,True,bola,True,False,drop,0.193661
2,3,False,,True,False,open_door,0.191154
1,2,True,llave,True,False,up,0.190893
2,1,True,llave,False,False,open_door,0.189421
1,0,False,,True,True,open_door,0.187977
1,3,False,,True,False,left,0.187104
0,0,True,llave,True,True,right,0.175888
1,1,True,bola,True,False,left,0.175528
0,0,False,,True,False,pick,0.172748
1,1,False,,True,False,left,0.171016
1,3,True,llave,True,False,left,0.169613
1,0,True,llave,True,False,open_door,0.168094
1,2,True,llave,False,False,open_door,0.167559
0,0,True,bola,True,False,up,0.166601
1,3,False,,True,True,right,0.165017
0,2,False,,True,False,right,0.164805
3,3,False,,True,True,left,0.164735
1,3,False,,True,False,open_door,0.164665
0,1,False,,True,False,up,0.163996
1,0,False,,True,False,left,0.156751
2,3,True,bola,True,False,left,0.146549
1,0,False,,True,True,left,0.137706
7,1,True,llave,True,True,down,0.134881
0,2,False,,True,False,pick,0.133150
3,2,False,,True,False,down,0.124530
1,2,True,llave,False,False,up,0.123164
1,2,True,bola,True,False,left,0.121595
1,2,True,llave,True,False,drop,0.119505
2,3,False,,True,False,down,0.111927
0,0,True,bola,True,False,open_door,0.102792
0,2,False,,True,False,down,0.101872
2,2,False,,True,True,left,0.097782
1,1,True,llave,True,True,drop,0.097063
0,3,True,bola,True,False,drop,0.095527
3,0,True,llave,False,False,left,0.094205
2,1,False,,True,True,left,0.092376
0,2,True,llave,True,False,drop,0.091016
0,1,True,bola,True,False,down,0.082147
6,0,True,llave,True,True,open_door,0.081802
2,3,True,llave,False,False,left,0.073425
1,2,False,,True,False,down,0.045929
1,1,False,,True,False,right,0.040734
1,3,True,bola,True,False,left,0.037987
1,0,True,llave,True,True,open_door,0.037956
2,1,True,llave,True,True,up,0.035970
1,2,True,llave,True,False,left,0.035957
2,3,False,,True,True,left,0.025370
0,3,False,,True,False,open_door,0.022936
0,2,False,,True,False,open_door,0.019835
0,1,True,bola,True,False,open_door,0.012967
1,3,True,llave,True,False,open_door,0.005717
0,2,False,,True,False,up,0.000333
0,2,True,bola,True,False,up,-0.005000
1,0,True,llave,True,False,right,-0.005000
2,3,True,bola,True,False,right,-0.005000
2,3,False,,True,True,down,-0.005000
1,3,True,llave,False,False,left,-0.005000
1,1,True,llave,False,False,down,-0.005000
1,0,True,llave,False,False,left,-0.005000
1,0,True,llave,True,True,drop,-0.005000
1,1,True,llave,True,True,up,-0.005000
1,2,True,llave,True,True,drop,-0.005000
0,3,True,llave,True,False,down,-0.005000
2,2,True,llave,True,True,right,-0.005000
3,2,True,llave,True,True,left,-0.005000
5,1,True,llave,True,True,right,-0.005000
6,1,True,llave,True,True,right,-0.005000
1,0,True,llave,True,True,left,-0.005000
0,3,True,bola,True,False,down,-0.005000
1,0,True,llave,True,True,up,-0.007500
3,3,True,llave,True,True,left,-0.007500
2,3,True,llave,True,True,right,-0.007500
3,3,True,llave,True,True,down,-0.007500
1,3,False,,True,True,left,-0.009375
0,3,False,,True,True,right,-0.009375
3,2,True,llave,True,True,up,-0.009375
2,2,False,,True,True,up,-0.009688
0,2,False,,True,True,down,-0.009688
0,1,False,,True,True,right,-0.009688
0,0,False,,True,True,up,-0.009688
0,1,False,,True,True,up,-0.009688
0,2,False,,True,True,up,-0.009844
0,2,False,,True,True,right,-0.009844
1,1,False,,True,True,left,-0.009844
0,1,False,,True,True,down,-0.009844
1,2,False,,True,True,up,-0.009844
1,3,False,,True,True,down,-0.009844
1,2,False,,True,True,left,-0.009922
1,2,False,,True,True,down,-0.009961
1,0,False,,True,True,up,-0.009990
1,1,False,,True,True,up,-0.009990
1,2,False,,True,True,pick,-0.025000
3,3,False,,True,True,pick,-0.025000
1,2,False,,True,False,up,-0.031961
1,2,True,bola,True,False,open_door,-0.035011
1,0,False,,True,False,right,-0.038007
1,0,False,,True,True,pick,-0.043750
0,3,False,,True,True,open_door,-0.050000
0,3,True,llave,True,False,open_door,-0.050000
0,2,True,llave,True,False,open_door,-0.050000
6,1,True,llave,True,True,open_door,-0.050000
0,2,True,bola,True,False,open_door,-0.050000
0,0,False,,True,True,open_door,-0.054515
2,3,True,llave,False,False,open_door,-0.075000
2,1,False,,True,True,open_door,-0.075000
2,2,False,,True,True,open_door,-0.075000
2,1,True,llave,True,True,open_door,-0.075000
3,2,True,llave,True,True,open_door,-0.075000
0,1,False,,True,False,open_door,-0.077709
2,0,False,,True,False,left,-0.081005
1,3,False,,True,True,open_door,-0.087500
2,3,False,,True,True,open_door,-0.087500
0,1,False,,True,True,open_door,-0.087500
3,3,True,llave,True,True,open_door,-0.087500
2,0,False,,True,False,right,-0.094206
1,2,False,,True,True,open_door,-0.098438
0,2,False,,True,True,open_door,-0.099609
1,1,False,,True,True,open_door,-0.099805
2,0,False,,True,False,open_door,-0.128007
0,1,False,,True,False,down,-0.132845
0,3,False,,True,True,down,-0.134844
3,3,False,,True,False,open_door,-0.159025
0,3,False,,True,False,right,-0.245335
1,0,False,,True,False,open_door,-0.265832
0,1,False,,True,False,right,-0.268252
1,2,False,,True,False,left,-0.361676
0,0,False,,True,False,up,-0.379074
